4369	dovere andare a dormire .
4371	che cos'è ?
4373	il parola d' accesso essere “ Muiriel “ .
4375	non cambiare niente .
4376	costare trenta euro .
4377	non torre preoccupare .
4378	mi mancare .
4379	sei sicuro ?
4380	e allora ?
4381	per fare , bisognare correre del rischio .
4382	perché lo chiedere ?
4383	non essere un artista . non avere mai avere il spirito per questo cosa .
4384	il innocenza essere una cosa bello .
4385	non essere importante .
4386	mi piacere tanto andare in Giappone .
4387	mi volere parlare di libertà ?
4388	salvo che qui non essere così semplice .
4389	ti amare .
4390	congratulazione !
4391	Neanch'io lo potere spiegare .
4392	non sei abbastanza veloce .
4393	essere un gioco di parola .
4394	non essere possibile .
4395	“ chi essere ? “ “ essere tuo madre . “
4396	ti pregare , non piangere .
4397	come si scrivere “ pretty “ ?
4398	essere un angelo !
4399	andata e ritorno ? solo andare .
4400	mettere in forma dopo il lavaggio .
4401	non aprire prima che il treno essere fermo .
4402	il matematica essere come il amore - un' idea semplice , che però potere diventare complicare .
4403	il solo risposta utile essere quello che proporre nuovo domanda .
4404	dubitare di sé stesso essere il primo segno di intelligenza .
4405	parlare italiano ?
4406	non potere vivere senza TV .
4407	una vita senza amore non avere assolutamente alcun senso .
4408	non riuscire a dormire dal rumore .
4409	avere un preservativo ?
4410	sì , un succo d' arancia , per cortesia , dire Mike .
4411	sorprendere , stupire , essere cominciare a capire .
4412	non c'è dubbio che il tutto essere infinito .
4413	per essere perfetta le mancare solo un difetto .
4414	eppure , essere sempre vero anche il contrario .
4415	non vedere il cosa come essere , ma come essere .
4416	il mondo essere una gabbia di matto .
4417	sei vicino a me , adesso tutto andare bene .
4418	mi chiamare Jack .
4420	ci vedere domani ?
4421	come si dire questo in italiano ?
4422	essere lontano da qui ?
4423	questo non essere il mio cosa !
4424	grazie , essere tutto .
4425	volere ballare con me ?
4426	che ora essere ?
4427	da dove venire ?
4428	come ti chiamare ?
4429	il Italia essere un paese molto bello .
4430	non essere colpa mio !
4431	volere rimanere per una notte .
4432	potere comporre il numero ? il telefono essere troppo in alto per me .
4433	C'è un ostello del gioventù qui vicino ?
4434	dove essere il doccia ?
4435	aprire il bocca !
4436	essere grave ?
