pubblico	[3889363]
aperto	[841107, 965358, 1101587, 1523935, 5604214]
usato	[633851, 1623280, 2449533, 3319386, 849245, 3698873, 6214139]
sbagliato	[1100100, 4895318, 6111292, 1856832]
perfetto	[4413, 2384007, 3676349]
seguito	[2433523, 6211208, 1300765, 1689777, 2586564, 5712368]
massimo	[2423132]
continuo	[609089, 713239, 1335588, 1402503, 1592230, 1737172, 3355540, 3406947, 3462640, 4417525, 4428434]
arrivato	[4620, 395564, 1301389, 1543128, 2473238, 2485786, 3516661, 4892562, 4653, 376568, 968096, 1099952, 1102449, 1588097, 1910708, 2055846, 2213330, 3416104, 3416105, 3653738, 3653739, 3663850, 672893, 1137915]
esperto	[3132163, 3132164]
politico	[373947, 719247, 1329316, 1427339, 1795501, 1803893, 1803893, 1803899, 1803899, 2275060, 2439010, 2748081, 2784671, 2784674, 2784733, 3841145, 3841146, 4484716, 5457420]
medio	[933183, 951608, 1184294, 1546743, 3030588, 3030608]
brillante	[409637]
informatico	[1416105]
legato	[1616179, 3859906]
