197	Ich muss ins Bett gehen.
80	Was ist das?
84	Das Passwort ist “Muiriel“.
99	Das wird nichts ändern.
100	Das wird 30 € kosten.
109	Mach dir keine Sorgen.
110	Ich vermisse dich.
128	Bist du sicher?
142	Na und?
168	Um das zu tun, musst du Risiken eingehen.
170	Warum fragst du?
171	Ich bin kein Künstler. Ich hatte niemals das Zeug dazu.
177	Unschuld ist eine schöne Sache.
1157	Das ist nicht wichtig.
195	Ich wünschte, ich könnte nach Japan gehen.
212	Du wolltest mit mir über Freiheit sprechen?
226	Nur, dass es hier nicht so einfach ist.
376087	Ich liebe dich!
239	Herzlichen Glückwunsch.
254	Ich kann es auch nicht erklären.
278	Du bist nicht schnell genug.
285	Das ist ein Wortspiel.
4446270	Das kann nicht sein.
307	“Wer ist es?“ “Es ist deine Mutter.“
412957	Bitte weine nicht.
342	Wie schreibt man “pretty“?
361	Du bist ein Engel!
373	Hin- und Rückfahrt? Nur Hinfahrt.
377	Nach der Wäsche in Form bringen.
379	Nicht öffnen, bevor der Zug hält.
384	Mathe ist wie Liebe - eine einfache Idee, aber es kann kompliziert werden.
385	Antworten sind nur dann nützlich, wenn sie neue Fragen aufwerfen.
386	An sich selbst zu zweifeln, ist das erste Zeichen von Intelligenz.
394	Sprichst du Italienisch?
409	Ich kann ohne Fernsehen nicht leben.
413	Ein Leben ohne Liebe hat überhaupt keinen Sinn.
416	Wir können wegen des Lärms nicht schlafen.
417	Hast du ein Kondom?
424	Ja, Orangensaft bitte, sagt Mike.
438	Überrascht sein, sich wundern, heißt anfangen, zu verstehen.
439	Zweifellos ist das Universum unendlich.
440	Zur Vollkommenheit fehlte ihr nur ein Fehler.
441	Und doch, auch das Gegenteil ist immer wahr.
442	Wir sehen die Dinge nicht, wie sie sind, sondern wie wir sind.
443	Die Welt ist ein Irrenhaus.
447	Du bist an meiner Seite, jetzt ist alles gut.
452	Ich heiße Jack.
454	Sehen wir uns morgen?
3044000	Wie sagt man das auf Italienisch?
456	Ist es weit von hier?
457	Das sind nicht meine Sachen!
458	Danke, das ist alles.
459	Tanzt du mit mir?
5216493	Wieviel Uhr ist es?
3053202	Wo bist du her?
451378	Wie heißt du?
442195	Italien ist ein sehr schönes Land.
464	Es ist nicht meine Schuld!
465	Ich möchte eine Nacht bleiben.
466	Könnten Sie für mich wählen? Das Telefon hängt zu hoch.
467	Gibt es hier in der Nähe eine Jugendherberge?
468	Wo sind die Duschen?
469	Öffnen Sie den Mund!
470	Ist es schlimm?
6005503	Ich habe mein Portemonnaie verloren.
472	Ich bin einverstanden.
473	Liebe ist nie verschwendet.
474	Leben ist das, was dir zustößt, während du gerade damit beschäftigt bist, andere Pläne zu machen.
475	Nicht wollen ist das Gleiche wie haben.
476	Er ist sehr sexy.
477	Lass mich in Ruhe!
480	Wie alt bist du?
509	Wie bist du auf diese verrückte Idee gekommen?
656406	Die Rechnung, bitte.
517	Ich habe Kopfweh.
518	Wo kann man telefonieren?
519	Ich muss zugeben, dass ich schnarche.
520	Heute Abend gehen wir in die Kirche.
521	Wie geht's dir? Hattest du eine gute Reise?
1470884	Ich fühle mich nicht wohl.
523	Rufen Sie die Polizei!
524	Das ist zu teuer!
526	Meine Schuhe sind zu klein, ich brauche neue.
544	Fragt nicht, was sie denken. Fragt, was sie tun.
559	Ich sterbe vor Hunger!
563	Ich bin verheiratet und habe zwei Kinder.
374340	Ich sehe ihn selten.
566	Ich möchte in Paris studieren.
567	Ihr wisst nicht, wer ich bin.
568	Warum isst du kein Gemüse?
570	Ich ziehe mich aus.
571	Das Auto fuhr gegen die Mauer.
396884	Wo ein Wille ist, ist auch ein Weg.
1486329	Wer suchet, der findet.
583	Rom ist nicht an einem Tage erbaut worden.
589	Das war der schönste Tag in meinem Leben.
590	Ich verstehe kein Deutsch.
591	Ich habe meine Entscheidung getroffen.
592	Ich gebe dir mein Wort.
594	Du bist die große Liebe meines Lebens.
596	Wir haben einen Papst.
611	Ich finde Fremdsprachen sehr interessant.
612	Ich lerne nicht gerne unregelmäßige Verben.
613	Nimm ein Buch und lies es!
614	Stell dich dem Leben lächelnd!
616	Du bringst mich zum Träumen.
617	Ich bin außer mir vor Freude.
618	Er ist schon ein Mann.
619	Die Ferien sind jetzt vorbei.
620	Ich habe Angst zu fallen.
621	Abendgarderobe ist erwünscht.
622	Das ist die reine Wahrheit.
623	Es ist kalt.
628	Du hast Recht.
629	Das hast du absichtlich getan!
630	Du hast ihm nichts gesagt?
631	Du hast mir den Kopf verdreht.
632	Du bist mein Typ.
633	Du bist unwiderstehlich.
634	Könntest du bitte später zurückrufen?
635	Mit wem spreche ich?
636	Ich akzeptiere, aber nur unter einer Bedingung.
638	Das Leben ist schön.
652	Wenn man weiß, dass etwas Unangenehmes geschehen wird, dass man zum Beispiel zum Zahnarzt oder nach Frankreich gehen wird, dann ist das nicht gut.
689	Wir haben die Schlacht gewonnen.
695	Ich habe letzte Woche begonnen, Chinesisch zu lernen.
722	Aaah!! Mein Computer ist kaputt!
779	Meine Eltern würden meinen Bruder verstoßen, wenn sie herausfänden, dass er schwul ist.
799	Ich mag meine Arbeit sehr gerne.
812	Ich habe von dir geträumt.
818	Einen Moment lang habe ich geglaubt, er wäre verrückt geworden.
833	Wie viele Sandwichs sind noch übrig?
858	Ich will ein Bonbon.
864	Ich mag die Schule nicht.
887	Er ist spurlos verschwunden.
916	So einen ungerechten Vorschlag hättest du ablehnen sollen.
925	Das Wesen der Mathematik liegt in ihrer Freiheit.
929	Das Wesen der Freiheit liegt in der Mathematik.
944	Ich bin stolz, an diesem Projekt teilzuhaben.
970	Wohin gehst du?
972	Er schaut wie sieben Tage Regenwetter.
919053	Das kann nicht sein!
997	Ich mag Cavalieri, Tonelli und Fubini immer noch nicht, und morgen habe ich schon meine mündliche Analysisprüfung.
1049	Um diese Zeit ist ein unglaublicher Verkehr.
1059	Ich möchte meine Wertsachen abholen.
1081	Weißt du zufällig, wo ich meine Schlüssel hingelegt habe?
1122	Ich denke, es ist gut, dass Bücher noch existieren, aber sie machen mich schläfrig.
1126	Wenden Sie sich an meinen Kollegen.
1127	Die Akte wurde ans Ministerium geschickt.
1128	Sie sind nur in ihrem Reden mutig.
1129	Sie warten vor der Tür auf dich.
1130	Hast du einen Bleistift dabei?
1131	Wem gehört das?
1132	Seit Mario mich angelogen hat, spreche ich nicht mehr mit ihm.
1133	Das ist nicht seine Sache.
1134	Nimm deine Sachen und geh.
1135	Er hat sich aus der Affäre gezogen.
1137	Das lasse ich mir nicht zweimal sagen.
1138	Hände runter!
1139	Hacker finden neue Mittel und Wege, um in private und öffentliche Netze einzudringen.
1140	Das Flugzeug wurde wegen Nebel nach München umgeleitet.
1141	Wer zuletzt lacht, lacht am besten.
1142	Je eher, desto besser.
1143	Das ist nicht ganz richtig.
