intraprendere	[3426024, 3426024]
magico	[4473804, 4473805]
shopping	[2222326, 5054630]
congresso	[2283512]
aurora	[2031603, 2974371]
arduo	[1758487]
appoggio	[1792094, 2465369]
poster	[538991]
biscotto	[2615686]
astronomia	[382269, 382269]
tour	[5993073, 5993075]
ampliare	[2224588]
obbligo	[1422113]
classificare	[569602]
bilancia	[6592961, 6592962]
spalla	[883116, 1278503]
cerimonia	[1803977, 4947640]
prevenire	[946780, 3282449]
pari	[645577, 1000524]
inevitabile	[5061881]
viale	[5414985]
successivamente	[3284010, 3284010]
allenare	[1809181, 5739288]
visitatore	[350408, 622230]
lusso	[3566763]
ripresa	[3607212]
intervista	[3406964]
evoluzione	[1737231, 3664587]
giurisprudenza	[3573650, 3573651]
abbigliamento	[1806522, 1806522]
salmone	[5985717]
trasferimento	[3671593]
rotondo	[653788, 653790]
vincitore	[1265197, 1265197]
finanziamento	[3000700]
mortale	[670805]
ovviamente	[5172867, 5172867]
circostanza	[1816903, 4902352]
istituzione	[1758457, 1795464]
vantare	[1454895, 4293378]
goccia	[1160698, 3021788]
denominare	[3627091]
colle	[2254374]
canale	[2215527, 2215527]
fritto	[1693145, 3190039]
statua	[1049478]
regolare	[2196471]
climatico	[720451, 2057313]
svolgimento	[1368154]
abile	[1326955, 1326955]
durata	[1846952, 1878239]
accurato	[1759642]
manifestazione	[4913004]
obbligatorio	[7124241]
costituzione	[637196, 2988232]
ciliegio	[409462, 409467]
diffuso	[4915185, 4982105]
misto	[4916981, 4922682]
profilo	[1461855]
tradizione	[6933506]
danza	[2275139, 7776127]
conoscente	[713973, 713973]
associazione	[1020523, 1020523]
decorare	[2152280, 2189454]
rilassare	[2427303, 6551121]
studioso	[1874163]
brillante	[1838558, 4473516]
severamente	[4162976, 4162976]
invidioso	[4909376]
navigazione	[825809]
cittadinanza	[2054194, 3162309]
impiegare	[1776893, 2028978]
trasformazione	[1859680, 2989599]
risalire	[1368164, 1368164]
considerevole	[4099065]
copiare	[2056030]
stabilimento	[2173201]
lira	[1200979]
sciogliere	[379729, 987859]
gratuitamente	[1300676, 4075159]
portale	[2437011]
olimpico	[1577797]
sostituire	[499910]
alunno	[2291338, 3056945]
danneggiare	[668049, 2449136]
collaborazione	[2227490, 2227490]
persino	[2420968, 2420968]
yogurt	[2721041]
tirocinio	[7196370]
rivoluzione	[2212272, 3278911]
garanzia	[3296530, 4974539]
universitario	[373528, 373528]
chiacchierare	[381855, 1541461]
somigliare	[2205882]
mediocre	[2632781, 6026157]
allegare	[350371]
oggigiorno	[1754705, 7321573]
candidato	[1739764, 2433713]
attaccare	[862245, 6471712]
foro	[3238452]
fiscale	[1471973]
vinto	[2201277, 2201277]
progettare	[2416308, 3296228]
bocciare	[3987348, 3987348]
applicazione	[1166632, 2132684]
specificare	[3162241]
emozionare	[670738, 955025]
arrivato	[5465970]
vitamina	[4984420, 4984421]
intuire	[2038912]
vaccino	[7192424]
telegrafo	[999181, 999185]
meraviglia	[2090607, 2205678]
ridotto	[3283324, 3283325]
tragedia	[1485737, 1593465]
liceo	[539006, 539006]
preparativo	[3238498, 3238499]
concorso	[4933426, 4933426]
protestare	[627710, 2784692]
eterno	[1434757]
