4369	Devo andare a dormire.
4371	Che cos'è?
4373	La parola d'accesso è “Muiriel“.
4375	Non cambierà niente.
4376	Costerà trenta euro.
4377	Non ti preoccupare.
4378	Mi manchi.
4379	Sei sicuro?
4380	E allora?
4381	Per farlo, bisogna correre dei rischi.
4382	Perché lo chiedi?
4383	Non sono un artista. Non ho mai avuto lo spirito per queste cose.
4384	L'innocenza è una cosa bella.
4385	Non è importante.
4386	Mi piacerebbe tanto andare in Giappone.
4387	Mi volevi parlare di libertà?
4388	Salvo che qui non è così semplice.
4389	Ti amo.
4390	Congratulazioni!
4391	Neanch'io lo posso spiegare.
4392	Non sei abbastanza veloce.
4393	È un gioco di parole.
4394	Non è possibile.
4395	“Chi è?“ “È tua madre.“
4396	Ti prego, non piangere.
4397	Come si scrive “pretty“?
4398	Sei un angelo!
4399	Andata e ritorno? Solo andata.
4400	Mettere in forma dopo il lavaggio.
4401	Non aprire prima che il treno sia fermo.
4402	La matematica è come l'amore - un'idea semplice, che però può diventare complicata.
4403	Le sole risposte utili sono quelle che propongono nuove domande.
4404	Dubitare di sé stessi è il primo segno di intelligenza.
4405	Parli italiano?
4406	Non posso vivere senza TV.
4407	Una vita senza amore non ha assolutamente alcun senso.
4408	Non riusciamo a dormire dal rumore.
4409	Hai un preservativo?
4410	Sì, un succo d'arancia, per cortesia, dice Mike.
4411	Sorprendersi, stupirsi, è cominciare a capire.
4412	Non c'è dubbio che il tutto è infinito.
4413	Per essere perfetta le mancava solo un difetto.
4414	Eppure, è sempre vero anche il contrario.
4415	Non vediamo le cose come sono, ma come siamo.
4416	Il mondo è una gabbia di matti.
4417	Sei vicino a me, adesso tutto va bene.
4418	Mi chiamo Jack.
4420	Ci vediamo domani?
4421	Come si dice questo in italiano?
4422	È lontana da qui?
4423	Queste non sono le mie cose!
4424	Grazie, è tutto.
4425	Vuoi ballare con me?
4426	Che ore sono?
4427	Da dove vieni?
4428	Come ti chiami?
4429	L'Italia è un paese molto bello.
4430	Non è colpa mia!
4431	Vorrei rimanere per una notte.
4432	Potrebbe compormi il numero? Il telefono è troppo in alto per me.
4433	C'è un ostello della gioventù qui vicino?
4434	Dove sono le docce?
4435	Apra la bocca!
4436	È grave?
4437	Ho perso il mio portafoglio.
4438	Io sono d'accordo.
4439	Non c'è amore sprecato.
4440	La vita è quello che ti succede mentre sei impegnato a fare altri progetti.
4441	Non desiderare è lo stesso che avere.
4442	È molto sexy.
4443	Lasciami stare!
4444	Quanti anni hai?
4445	Come ti è venuta in mente questa stupida idea?
4447	Il conto, per favore.
4448	Mi fa male la testa.
4449	Dove si può telefonare?
4450	Vi devo confessare che russo.
4451	Stasera andiamo in chiesa.
4452	Come stai? Hai fatto un buon viaggio?
4453	Non mi sento bene.
4454	Chiamate la polizia!
4455	È troppo caro!
4456	Le mie scarpe sono troppo piccole, ne ho bisogno di nuove.
4457	Non chiedete cosa pensano. Chiedete cosa fanno.
4458	Muoio di fame!
4459	Sono sposata e ho due bambini.
4460	Lo vedo raramente.
4461	Vorrei studiare a Parigi.
4462	Non sapete chi sono io.
4463	Perché non mangi la verdura?
4464	Mi spoglio.
4465	L'auto si è schiantata contro il muro.
4466	Volere è potere.
4467	Chi cerca trova.
4468	Roma non fu fatta in un giorno.
4469	È stato il giorno più bello della mia vita.
4470	Non capisco il tedesco.
4471	Ho preso la mia decisione.
4472	Ti do la mia parola.
4473	Sei il grande amore della mia vita.
4474	Abbiamo un Papa.
4475	Trovo molto interessanti le lingue straniere.
4476	Non mi piace imparare i verbi irregolari.
4477	Prendi un libro e leggilo!
4478	Affronta la vita sorridendo!
4479	Mi fai sognare.
4480	Non sto più in me dalla gioia.
4481	Ormai è un uomo.
4482	Le vacanze sono finite ora.
4483	Ho paura di cadere.
4484	È di rigore l'abito da sera.
4485	È la pura verità.
4486	Fa freddo.
4488	Hai ragione.
4489	L'hai fatto apposta!
4490	Non gli hai detto nulla?
4491	Mi hai fatto perdere la testa.
4492	Sei il mio tipo.
4493	Sei irresistibile.
4494	Mi potresti ritelefonare più tardi, per favore?
4495	Con chi parlo?
4496	Lo accetto, ma c'è un se.
4497	La vita è bella!
4498	Non è bene sapere quando qualcosa di sgradevole accadrà, per esempio che si andrà dal dentista o in Francia.
4499	Abbiamo vinto la battaglia.
4500	Ho cominciato a studiare cinese la settimana scorsa.
4501	Aaah!! Il mio computer è rotto!
4502	I miei genitori rinnegherebbero mio fratello se scoprissero che è gay.
4503	Mi piace molto il mio lavoro.
4504	Ti ho sognato.
4505	Per un momento ho pensato che fosse impazzito.
4506	Quanti panini rimangono?
4507	Voglio una caramella.
4508	Non mi piace la scuola.
4509	È scomparso senza lasciare tracce.
4510	Avresti dovuto rifiutare una proposta così ingiusta.
4511	L'essenza della matematica è la libertà.
4513	L'essenza della libertà è la matematica.
4514	Sono orgoglioso di far parte di questo progetto.
4515	Dove vai?
4516	Ha una faccia da funerale.
4517	È impossibile.
4518	Continuano a non piacermi Cavalieri, Tonelli e Fubini... e domani ho già il mio esame orale di analisi.
4519	A quest'ora, c'è un traffico incredibile.
4520	Voglio recuperare i miei oggetti di valore.
4521	Sapresti per caso dove ho messo le mie chiavi?
4522	Penso che sia un bene che i libri esistano ancora, però mi fanno venire voglia di dormire.
4523	Si rivolga al mio collega.
4524	Il dossier è stato inviato al Ministero.
4525	Sono coraggiosi solo a parole.
4526	Ti aspettano davanti alla porta.
4527	Hai con te una matita?
4528	Di chi è?
4529	Da quando Mario mi ha mentito, non gli rivolgo più la parola.
4531	Non è affare suo.
4532	Prendi la tua roba e vattene.
4534	È fuori pericolo.
4535	Non me lo faccio dire due volte.
4536	Metti giù le mani!
4537	Gli hacker scovano nuove maniere per intrufolarsi nelle reti private o pubbliche.
4538	Per via della nebbia l'aereo è stato dirottato su Monaco.
4539	Ride bene chi ride ultimo.
4540	Quanto prima tanto meglio.
4541	Non è del tutto esatto.
4542	Non dimostra la sua età.
4543	Ti piace il rap?
4546	Da te proprio non me l'aspettavo.
4547	Aspetto da ore.
4548	Qui casca l'asino.
4549	Non lo conosco.
4550	Questo film mi è piaciuto.
4551	Non importa.
4552	Non mi importa.
4553	Stavo per uscire quando squillò il telefono.
4554	Guarda bene. Ora ti mostro come si fa.
4555	Vado ogni mattina a fare la spesa.
4556	La parola è d'argento ma il silenzio è d'oro.
4558	La questione si è risolta da sola.
4559	Questi discorsi non mi piacciono.
4561	Sono opinioni completamente opposte.
4563	Non sono affatto convinta.
4564	Perché volete partire oggi?
4565	Vado a prendere la macchina.
4566	È troppo bello per essere vero.
4567	Assioma di Cole: La somma dell'intelligenza sulla Terra è costante; la popolazione è in aumento.
4568	Meglio tardi che mai.
4570	Tale padre, tale figlio.
4571	Peccato confessato, mezzo perdonato.
4572	Finché c'è vita, c'è speranza.
4573	Non l'ho fatto apposta.
4574	Tutte le strade portano a Roma.
4575	Le ore del mattino hanno l'oro in bocca.
4576	Il mondo è fatto a scale, chi le scende e chi le sale.
4577	Tutti gusti sono gusti.
4578	Non si può cantare e portare croce.
4579	Chi non combatte non riporta vittoria.
4582	Di notte tutti i gatti sono grigi.
4585	Insegnami come si fa.
4587	La voce dell'innocenza non falla.
4588	Nessuna nuova, buona nuova.
4591	Lo Stato non ha saputo rispondere all'aspettativa dei cittadini.
4592	Me l'aspettavo!
4593	Non mi aspetto niente da te.
4594	Aspettate in sala d'attesa.
4595	Perché dai importanza a questo incidente?
4596	Attento, signore, è scivoloso!
4597	Non c'è alcun dubbio.
4598	Non c'è nessuna soluzione.
4599	Non sapevo che bevesse tanto.
4601	Ti sta bene.
4602	Vuoi un succo di frutta?
4603	È una persona perbene.
4607	Amor dà per mercede gelosia e rotta fede.
4608	Non c'era anima viva.
4609	Lontano dagli occhi, lontano dal cuore.
4610	I muri hanno orecchie.
4611	Faccia come se fosse a casa sua.
4612	Se non è vero, è ben trovato.
4613	Non posso dire il contrario.
4615	Non ne voglio più.
4616	È venuto più volte.
4617	Ci si domanda perché.
4619	Vado a fare il bagno.
4620	Siamo partiti con la pioggia, però siamo arrivati con il sole.
4622	Mangiando troppo si ingrassa.
4623	Non so se l'avrebbe fatto per me.
4624	Ti piacerebbe venire?
4626	Sarebbe venuta volentieri, ma era in vacanza.
4627	Credevo fosse vero.
4628	Ecco la città di cui ti parlavo.
4629	Ecco il ragazzo a cui penso.
4630	Ciao, ti volevo solo far sapere che il tuo problema è risolto.
4631	Sono andato bere una birra con degli amici.
4632	È saltato dalla finestra.
4633	Ieri ci siamo divertiti.
4634	Hanno litigato.
4635	Ho mangiato del caviale.
4636	È cambiato molto dall'ultima volta.
4637	Questo coltello mi è servito molto.
4638	Ha sbagliato chiave.
4641	Accetta carte di credito?
4642	Le porto subito il conto.
4643	Ecco il resto.
4644	Pagherò a mezzo assegno.
4645	Hai lasciato la mancia?
4646	Non dimentichi lo scontrino.
4647	Mi dispiace, non ho spiccioli.
4648	La situazione è ancora peggiore di quanto credessimo.
4649	Il peggio deve ancora venire.
4650	Non sanno nemmeno il perché.
4651	Mi scusi, ho sbagliato numero.
4652	Vorrei che tu mi dicessi la verità.
4653	Sei arrivata proprio quando uscivo.
4655	A chi lo dici!
4656	Chi viene con me?
4657	Voglio sapere chi viene con noi.
4658	Firenze è la città più bella d'Italia.
4660	Ho fatto dei buoni acquisti.
4661	Ho incontrato delle persone simpatiche.
4662	Ho parlato a degli amici.
4663	Il film è cominciato alle 2.
4665	Il film è durato 2 ore.
4666	Sono contento di rivederti.
4667	Sei cambiato molto.
4668	Coloro che lo conoscono lo apprezzano.
4669	Dimmi quello che è successo.
4670	Non fa altro che piangere.
4671	Sono ragazze serie.
4672	Come sei bella!
4673	Ci sono tanti musei quante chiese.
4676	È più difficile di quello che pensi.
4677	Mi ha detto che sarebbe andato a Venezia.
4678	Chi sono costoro?
4679	Ci vogliono 10 minuti per andare alla stazione.
4680	Ce l'abbiamo fatta!
4681	Il verme si contorce.
4682	Non sono d'accordo con lui.
4683	Lo spirito è forte, ma la carne è debole.
4684	C'è parecchio da fare, desiderate aiuto?
4685	Mi pare che il treno sia in ritardo.
4687	Ha saputo la notizia leggendo il giornale.
4689	Chiedi a Trang se esce stasera.
4690	Chi l'ha detto? È assolutamente falso!
4691	Quando ero bambino, passavo ore a leggere da solo in camera mia.
4692	Chiuda la porta uscendo.
4693	Ah! Se fossi ricco, mi comprerei una casa in Spagna.
4694	Spero che possa venire! Mi piacerebbe vederlo.
4698	Lascia perdere. Non ne vale la pena.
4699	Chi non lavora non ha diritto di mangiare.
4700	Mangeremo molto stasera e quindi spero che tu non sia a dieta.
4701	Ha nevicato tutta la notte.
6083	Ci vediamo più presto?
119812	Ciao, Tom.
119949	In città, il limite di velocità è di 50 km/h.
335153	Io insegno.
335154	Ho riso.
338448	Cosa?
338694	Ho una domanda.
338709	Fa caldo oggi.
340254	Lo Shitennouji è il più antico tempio del Giappone.
340651	È molto romantico!
340681	Non conoscevo quella canzone.
340888	Molto romantico!
341619	Karin è austriaca.
341627	La Torre Pendente di Pisa è più alta della chiesa.
341629	Perché non gli portiamo una bottiglia di vino?
341631	Ho molti amici.
341641	Tu cerchi la tua chiave.
341644	Stasera andiamo a ballare.
341646	Diecimila più cinquemilacinquecento fa quindicimilacinquecento.
341656	Non devi mangiare troppi gelati e troppi spaghetti.
342133	Mi chiamo Andrea.
342137	A Nara ci sono molti cervi!
342139	Non ci posso credere!
350268	Questo fiume è tre volte più lungo dell'altro.
350270	È arrivato prima del solito.
350280	Cercherò di risolvere il problema ad ogni costo.
350283	Era tutt'altro che robusto.
350292	Lei apre la finestra.
350296	So suonare la chitarra.
350304	Il ladro prese la borsa dalla sua mano.
350311	Puoi spedire questa lettera per me?
350317	L'ho conosciuto in Francia.
350327	In caso di ritardo nella consegna, abbiamo una speciale assicurazione sul ritardo.
350329	È molto carino da parte tua.
350331	Si fece male cadendo.
350332	Meglio.
350346	Mio nonno non può camminare senza bastone.
350348	Un passaporto è una cosa senza la quale non puoi andare in un paese straniero.
350351	I tre vicini si aiutarono l'un l'altro.
350360	Non sono riuscito a mettermi in contatto con lui.
350361	Mostrami i giornali di oggi.
350362	Di solito mio padre torna a casa alle sei.
350365	I pesci sono animali a sangue freddo.
350371	Come da tua richiesta, allego una mia foto.
350372	In caso tu venga licenziato, cosa faresti per prima cosa?
350377	John è bravo a scacchi.
350382	Passammo le vacanze al mare.
350383	Ho fatto soltanto 33 punti al test.
350387	Il suo sorriso la tranquillizzò.
350393	Buon per te.
350396	L'insegnante mi fece ripetere la frase.
350397	Non fece niente di male.
350398	Che ne dici di andare a vedere un film sabato?
350408	Londra è una città così grande che i visitatori devono usare bus e metropolitana per muoversi.
350420	Non c'è niente di cui preoccuparsi.
350429	Tali incidenti sono piuttosto comuni.
350448	Ho trovato il libro molto interessante.
350451	Questa stanza è venti piedi per ventiquattro.
350453	Le ragazze non avevano paura, ma i ragazzi sì.
350458	Mai avrei pensato di incontrarti qua.
350465	Ogni volta che leggo questo libro, trovo qualcosa di nuovo.
350467	In generale, si sa poco di equazioni differenziali non lineari del secondo ordine.
350468	Questa radio non funziona.
350471	Non credo nell'esistenza di Dio.
350488	Ho trovato un vero affare.
350502	Se avessi avuto abbastanza soldi, avrei comprato la borsa.
350503	Possono vincere la propria paura.
350534	Fammi entrare.
350538	Che ne dici di mangiare fuori stasera tanto per cambiare?
350554	È un gatto quello?
350563	Ti ricordi?
350564	Riconosci l'uomo in questa foto?
350568	Non parlare con la bocca piena.
350569	Eri al secondo anno delle scuole medie lo scorso anno, vero?
350588	Non ho niente a che fare con ciò.
350600	Per favore, dimmi cosa dovrei fare in questa situazione.
350606	Le sue scarpe sono marroni.
350611	Faresti meglio a portarti l'ombrello.
350612	Mio padre non mangia molta frutta.
350618	Quando osservo il mare mi sento calmo.
350625	Nuoto una volta a settimana.
350630	Il mio insegnante di inglese mi ha consigliato di leggere questi libri.
350631	Parla come se avesse già letto il libro.
350632	Tutti i cani sono vivi.
350731	Siamo tutti d'accordo con te.
350741	Non può aver detto una bugia.
350750	Ho bisogno del tuo aiuto.
350763	Non mi piacciono i bambini viziati.
350781	La ferrovia si divide in due dopo il ponte.
350792	Sono sorpreso di vederti.
350796	Ho dormito nove ore.
350800	Mi dispiace averti fatto attendere a lungo.
350805	Rispose di saper nuotare bene.
350837	Che ne dici di un'altra tazza di caffè?
350842	Puoi fare qualcosa per aiutarmi?
350843	Spiegò il motivo del suo ritardo.
350844	Fammi sapere il tuo nuovo indirizzo.
350850	Sa parlare bene lo spagnolo.
350856	Non si possono costruire case in questa zona.
350910	La segretaria mise la lettera nella busta.
350917	La capitale del Brasile è Brasilia.
350918	Scoppiò a ridere quando mi vide.
350922	Vedo doppio.
350929	Il capo ci ordinò di lavorare da mattina a sera.
350930	È andato in Svizzera.
350934	Il treno non è ancora arrivato.
350942	Ummm. Non ho idea di come rispondere alla domanda dell'insegnante.
350950	Vorrei smettesse di piovere.
350951	Non piangere sul latte versato.
350954	Che fai?
350961	Saremo amici per sempre.
350978	Se avessi abbastanza soldi, potrei andare all'estero.
350982	Ho cambiato indirizzo lo scorso mese.
350988	Il tuo successo dipende dal tuo impegno.
350989	Mio figlio è alto quanto me adesso.
350990	Quello non succederà.
350994	Ken deve correre veloce.
350998	Quanti ragazzi ci sono in classe tua?
351007	Ti ho chiesto se volevi un passaggio.
351017	Furono i primi a salire sul bus.
351071	Arriverà a Kyoto domani.
351072	Poeti come Toson e Hakushu sono rari.
351085	C'è un parcheggio?
351095	Errore mio.
351099	Sei sul treno sbagliato.
351123	Non abbiamo scuola oggi.
351129	Queste scarpe sono così strette che non riesco a mettermele.
351135	Voglio viaggiare con te.
351136	Mi dai un passaggio per la stazione?
351137	Non lavora più qua.
351139	Non so se tu stia dicendo la verità o no.
351140	Tornerò per le sei.
351142	Il treno partirà in ritardo.
351146	L'aereo decollò da Narita alle 10 del mattino.
351149	Cercai la parola nel dizionario.
351151	Salvò il bambino mettendo a rischio la propria vita.
351162	Mi piace andare in treno.
351264	Mio fratello mangia il doppio di me.
351661	Ho preso il tuo ombrello per sbaglio.
351824	Tom sta suonando il violino adesso.
353213	Fuma 20 sigarette al giorno.
353409	Non parlo giapponese.
353414	Se avessi più soldi, potrei traslocare in una casa più grande.
353415	Il nostro insegnante ci dà molti compiti.
353416	Ho risolto il problema, non senza difficoltà.
353434	In autunno le foglie cambiano colore e cadono.
353435	Potresti prestarmi il libro?
353436	Senza offesa.
353438	Lucy viene dall'America.
353440	Quel bambino lì sarà il fratello di Tom.
354233	Martedì è stato sicuramente freddo.
357983	Quanti anni ha quel cane?
358298	Che peccato!
359407	Questo è tutto quello che posso fare per te.
359408	Anche Bob sa guidare la macchina.
359412	Lui è molto alto.
359418	Il problema è nel motore.
359432	Non voglio più mentire.
359438	Un poeta guarda il mondo come un uomo guarda una donna.
359449	I boccioli cominciarono a schiudersi.
359451	Il suo nome ci è stato dato dal Sig. Hayashi della Keyo Steel Corporation.
359454	Appena mi ha visto, ha cominciato a piangere.
359460	L'inglese non è facile da imparare per lui.
359476	Vaffanculo!
361901	Che cosa leggi?
361907	Hai deciso dove andare in vacanza?
365719	Pioverà di sicuro.
365720	Ci puoi portare al British Museum?
367940	Sono vegetariana.
367956	Sono vegetariano.
367967	Non mangio né carne, né pesce, niente frutti di mare, né brodo di origine animale.
370099	Dov'è l'elenco telefonico?
373325	Come va?
373409	Dave non ritornò mai più a scuola.
373481	Fai come credi.
373489	Mia madre cucina bene.
373494	Ha agito saggiamente.
373495	Ho un cane.
373497	Ho visto un cane.
373504	Non ho un gatto.
373505	Qual è la tua chitarra?
373512	Jiro ha fatto uno schizzo del Monte Fuji.
373513	Questa bambola ha degli occhi grandi.
373521	Molti scienziati hanno la reputazione di essere eccentrici.
373525	Sei uno studente?
373526	Sono uno studente.
373528	Sono uno studente universitario.
373645	Pioverà oggi?
373653	Betty uccise sua madre.
373661	Mia madre parla lentamente.
373667	Conosce bene la città.
373675	Abito in una grande città.
373676	Vado spesso in città la domenica.
373683	Vorrei una mappa della città.
373686	Nara è una città molto vecchia.
373702	Ho trovato questo ristorante per caso.
373703	Questa scuola è stata fondata nel 1650.
373713	Le uniformi sono diverse da scuola a scuola.
373714	Le uniformi variano da scuola a scuola.
373718	Dov'è la tua scuola?
373733	Ho dimenticato il suo nome.
373736	Ho un sogno.
373742	Ecco il treno.
373751	Tutti amano la musica.
373754	Mi piace il jazz.
373765	Ha un altro figlio.
373767	Suo figlio è un genio.
373770	Nevica.
373784	No problem.
373794	Lo spagnolo è la sua lingua madre.
373796	Non parla la nostra lingua.
373799	Che lingue parlano in Corea?
373809	La sua parola è legge.
373811	Le piacciono i giochi di parole.
373814	Non ha detto una parola.
373820	Suona il piano.
373832	Ci vediamo domenica alle tre.
373842	La nostra impresa ha il progetto di costruire una nuova fabbrica chimica in Russia.
373843	La nostra compagnia vuole prendere parte in questo progetto di ricerca.
373851	Vorrei questo libro.
373855	Non abbiamo zucchero.
373856	Passami il sale, per favore.
373857	Usiamo il dizionario per trovare il significato delle parole.
373858	Il sale è necessario per cucinare.
373860	Il sale è venduto a peso.
373867	L'ho incontrato quando ero a Parigi.
373872	Ho fatto un errore.
373873	Ammetto il mio errore.
373877	Chiunque può fare degli errori.
373883	Non capisco.
373888	Parlare inglese è utile.
373930	Dammi il libro.
373931	Dov'è il libro?
373934	Questo libro è nuovo.
373936	Questo libro è pesante.
373937	Questo libro è mio.
373947	Mary si interessa di politica.
373956	La libertà non è gratuita.
373957	Sono libero.
373962	Sono libero ora.
373963	Sono libero oggi.
373966	Siete liberi questo fine settimana?
373998	L'ho pagato la settimana scorsa.
374002	Quanto sei alto?
374004	Tuo padre è alto.
374006	Sono alto.
374037	Buon fine settimana.
374040	Domani è il mio compleanno.
374041	Abbiamo festeggiato il suo compleanno.
374042	Domani è il suo compleanno.
374043	Il mio compleanno è in novembre.
374044	Il mio compleanno cade di domenica.
374048	Oggi è il mio sedicesimo compleanno.
374049	Fra poco è il mio compleanno.
374056	Il treno è arrivato in tempo.
374057	Il treno è già partito.
374062	Aggiungo una frase di esempio.
374108	Cosa ne pensi del suo comportamento?
374182	Siamo sottomessi alle leggi della natura.
374183	È stato accusato di aver violato la legge.
374185	Dicono che sia milionario.
374186	Ultimamente piove sempre.
374189	Mi sento sempre assonnato.
374197	Ho sempre fame.
374203	Il suo giardino è un'opera d'arte.
374205	L'arte moderna non mi interessa.
374206	Il kabuki è un'antica arte giapponese.
374207	Dov'è la galleria d'arte più vicina?
374209	Ho un cane e due gatti.
374212	Ho dato da mangiare al cane.
374223	Un gatto ha nove vite.
374225	Ho un gatto e un cane.
374234	Non sono tutti presenti.
374245	Hai scoperto la differenza fra queste due foto?
374247	Hai una macchina fotografica?
374249	Dick mi passò la foto.
374275	Papà ha comprato una macchina fotografica.
374283	Riconoscete l'uomo in questa foto?
374299	Oggi è domenica.
374302	Tieniti libero domenica prossima.
374308	Ieri era domenica, non sabato.
374309	Il lunedì segue la domenica.
374319	A Lucy piace giocare a tennis.
374322	Anche Jane gioca a tennis.
374326	Gioco a tennis.
374328	Mi piace il tennis.
374329	Il tennis è il mio sport preferito.
374331	Vado a giocare a tennis.
374333	Adora giocare a tennis.
374391	Sto finendo i compiti.
374400	Tu pensi troppo.
374401	Pensaci.
374403	Penso che sia vero.
374407	Agitare prima dell'uso.
374417	Picasso è un artista famoso.
374420	Mia sorella è famosa.
374426	Detroit è famosa per la sua industria di automobili.
374432	È a Tokyo.
374434	Sono di Tokyo.
374435	Il tifone ha colpito Tokyo.
374436	Vivo a Tokyo.
374437	Mio fratello vive a Tokyo.
374441	Ha un fratello che vive a Tokyo.
374454	Sono nato a Osaka.
